"FileName","Version","RBACInclude","FullPath"
"ediscovery-reviewset-export.md","Beta","export","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewset-export.md"
"ediscovery-reviewset-get.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewset-get.md"
"ediscovery-reviewsetquery-applytags.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-applytags.md"
"ediscovery-reviewsetquery-delete.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-delete.md"
"ediscovery-reviewsetquery-get.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-get.md"
"ediscovery-reviewsetquery-list.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-list.md"
"ediscovery-reviewsetquery-post.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-post.md"
"ediscovery-reviewsetquery-update.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-update.md"
"ediscovery-sitesource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sitesource-delete.md"
"ediscovery-sitesource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sitesource-get.md"
"ediscovery-sourcecollection-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-delete.md"
"ediscovery-sourcecollection-estimatestatistics.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-estimatestatistics.md"
"ediscovery-sourcecollection-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-get.md"
"ediscovery-sourcecollection-list-additionalsources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-additionalsources.md"
"ediscovery-sourcecollection-list-addtoreviewsetoperation.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-addtoreviewsetoperation.md"
"ediscovery-sourcecollection-list-custodiansources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-custodiansources.md"
"ediscovery-sourcecollection-list-lastestimatestatisticsoperation.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-lastestimatestatisticsoperation.md"
"ediscovery-sourcecollection-list-noncustodialsources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-noncustodialsources.md"
"ediscovery-sourcecollection-post-additionalsources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-additionalsources.md"
"ediscovery-sourcecollection-post-custodiansources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-custodiansources.md"
"ediscovery-sourcecollection-post-noncustodialsources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-noncustodialsources.md"
"ediscovery-sourcecollection-purgedata.md","Beta","purge","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-purgedata.md"
"ediscovery-sourcecollection-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-update.md"
"ediscovery-tag-ashierarchy.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-ashierarchy.md"
"ediscovery-tag-childtags.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-childtags.md"
"ediscovery-tag-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-delete.md"
"ediscovery-tag-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-get.md"
"ediscovery-tag-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-update.md"
"ediscovery-unifiedgroupsource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-unifiedgroupsource-delete.md"
"ediscovery-unifiedgroupsource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-unifiedgroupsource-get.md"
"ediscovery-usersource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-usersource-delete.md"
"ediscovery-usersource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-usersource-get.md"
