"FileName","Version","RBACInclude","FullPath"
"security-ediscoveryholdpolicy-delete-sitesources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-delete-sitesources.md"
"security-ediscoveryholdpolicy-delete-usersources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-delete-usersources.md"
"security-ediscoveryholdpolicy-get.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-get.md"
"security-ediscoveryholdpolicy-list-sitesources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-list-sitesources.md"
"security-ediscoveryholdpolicy-list-usersources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-list-usersources.md"
"security-ediscoveryholdpolicy-post-sitesources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-post-sitesources.md"
"security-ediscoveryholdpolicy-post-usersources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-post-usersources.md"
"security-ediscoveryholdpolicy-retrypolicy.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-retrypolicy.md"
"security-ediscoveryholdpolicy-update.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryholdpolicy-update.md"
"security-ediscoverynoncustodialdatasource-applyhold.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverynoncustodialdatasource-applyhold.md"
"security-ediscoverynoncustodialdatasource-get.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverynoncustodialdatasource-get.md"
"security-ediscoverynoncustodialdatasource-release.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverynoncustodialdatasource-release.md"
"security-ediscoverynoncustodialdatasource-removehold.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverynoncustodialdatasource-removehold.md"
"security-ediscoverynoncustodialdatasource-updateindex.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverynoncustodialdatasource-updateindex.md"
"security-ediscoveryreviewset-addtoreviewset.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-addtoreviewset.md"
"security-ediscoveryreviewset-delete-queries.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-delete-queries.md"
"security-ediscoveryreviewset-export.md","V1.0","export","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-export.md"
"security-ediscoveryreviewset-get.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-get.md"
"security-ediscoveryreviewset-list-queries.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-list-queries.md"
"security-ediscoveryreviewset-post-queries.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-post-queries.md"
"security-ediscoveryreviewset-update.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewset-update.md"
"security-ediscoveryreviewsetquery-applytags.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewsetquery-applytags.md"
"security-ediscoveryreviewsetquery-export.md","V1.0","export","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewsetquery-export.md"
"security-ediscoveryreviewsetquery-get.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewsetquery-get.md"
"security-ediscoveryreviewsetquery-update.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewsetquery-update.md"
"security-ediscoveryreviewtag-ashierarchy.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewtag-ashierarchy.md"
"security-ediscoveryreviewtag-get.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewtag-get.md"
"security-ediscoveryreviewtag-update.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoveryreviewtag-update.md"
"security-ediscoverysearch-delete-custodiansources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-delete-custodiansources.md"
"security-ediscoverysearch-delete-noncustodialsources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-delete-noncustodialsources.md"
"security-ediscoverysearch-estimatestatistics.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-estimatestatistics.md"
"security-ediscoverysearch-exportreport.md","V1.0","export","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-exportreport.md"
"security-ediscoverysearch-exportresult.md","V1.0","export","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-exportresult.md"
"security-ediscoverysearch-get.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-get.md"
"security-ediscoverysearch-list-additionalsources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-list-additionalsources.md"
"security-ediscoverysearch-list-custodiansources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-list-custodiansources.md"
"security-ediscoverysearch-list-lastestimatestatisticsoperation.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-list-lastestimatestatisticsoperation.md"
"security-ediscoverysearch-list-noncustodialsources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-list-noncustodialsources.md"
"security-ediscoverysearch-post-additionalsources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-post-additionalsources.md"
"security-ediscoverysearch-post-custodiansources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-post-custodiansources.md"
"security-ediscoverysearch-post-noncustodialsources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-post-noncustodialsources.md"
"security-ediscoverysearch-purgedata.md","V1.0","purge","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-purgedata.md"
"security-ediscoverysearch-update.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverysearch-update.md"
